"Your subzone has been added !","Your subzone has been added !"
"Another subzone with the same name already exists","Another subzone with the same name already exists"
"Your subzone has been deleted !","Your subzone has been deleted !"
"Error while trying to delete subzone: ","Error while trying to delete subzone: "
"Id","Id"
"Name","Name"



"./Block/Adminhtml/Manage/Edit/Tab/Address.php",""

"Sub-Zone","SubZone"
"Address & Contact","Address & Contact"
"Address & Hours","Address & Hours"
"Address line 1","Address line 1"
"Address line 2","Address line 2"
"City","City"
"Country","Country"
"Description","Description"
"Email","Email"
"Hours","Hours"
"Image","Image"
"Main phone","Main phone"
"--Please select a state--","--Please select a state--"
"Postal code","Postal code"
"State","State"
"Address & Contact","Address & Contact"
"Address & Hours","Address & Hours"
"Address line 1","Address line 1"
"Address line 2","Address line 2"
"City","City"
"Country","Country"
"Description","Description"
"Email","Email"
"Hours","Hours"
"Image","Image"
"Main phone","Main phone"
"--Please select a state--","--Please select a state--"
"Postal code","Postal code"
"State","State"
"Unable to save the POS.","Unable to save the POS."
"All Subzones must belong to the same zone.","All Subzones must belong to the same zone."
"The POS has been saved.","The POS has been saved."